Date,Adj Close,Close,High,Low,Open,Volume
2021-10-13,62538.953125,68800.0,69600.0,68300.0,68700.0,24172015
2021-10-14,63084.3515625,69400.0,69800.0,68800.0,69000.0,19520641
2021-10-15,63720.6640625,70100.0,71000.0,70000.0,70200.0,18051612
2021-10-18,63811.5625,70200.0,70300.0,69200.0,70200.0,13486391
2021-10-19,64175.1484375,70600.0,71000.0,70400.0,70800.0,9507991
2021-10-20,63902.46484375,70300.0,71000.0,70200.0,70700.0,10151638
2021-10-21,63811.5625,70200.0,70600.0,70000.0,70300.0,10891094
2021-10-22,63993.34765625,70400.0,70700.0,70000.0,70000.0,8395448
2021-10-25,63811.5625,70200.0,70600.0,69500.0,69900.0,10029621
2021-10-26,64629.64453125,71100.0,71500.0,70400.0,70600.0,10528252
2021-10-27,63720.6640625,70100.0,71000.0,70000.0,71000.0,10295316
2021-10-28,64266.04296875,70700.0,72200.0,69500.0,69500.0,20644902
2021-10-29,63447.96484375,69800.0,71600.0,69700.0,71200.0,17016151
2021-11-01,63538.85546875,69900.0,70600.0,69900.0,70200.0,11503729
2021-11-02,64993.24609375,71500.0,72200.0,70700.0,70800.0,16812570
2021-11-03,63993.34765625,70400.0,71700.0,70100.0,71700.0,12770428
2021-11-04,64175.1484375,70600.0,71600.0,70500.0,71200.0,11818987
2021-11-05,63811.5625,70200.0,71600.0,70200.0,71600.0,12667743
2021-11-08,64175.1484375,70600.0,70600.0,69800.0,70400.0,11121981
2021-11-09,64084.26953125,70500.0,71000.0,70100.0,70300.0,11159589
2021-11-10,63811.5625,70200.0,70900.0,70200.0,70300.0,9422009
2021-11-11,63538.85546875,69900.0,70000.0,69600.0,69900.0,11489122
2021-11-12,64175.1484375,70600.0,70900.0,69900.0,70200.0,10087450
2021-11-15,64902.3515625,71400.0,71900.0,70900.0,71700.0,12420710
2021-11-16,64811.44921875,71300.0,72000.0,71300.0,71500.0,10919239
2021-11-17,64266.04296875,70700.0,71600.0,70600.0,71300.0,11027606
